File,for loops,while loops,do-while loops,total loops,total nodes
crypto/asn1/bio_asn1.c,0,2,3,5,3985
crypto/x509/t_acert.c,3,0,1,4,2893
crypto/hashtable/hashfunc.c,0,0,1,1,112
crypto/evp/keymgmt_lib.c,0,0,1,1,5688
apps/openssl-bin-genrsa.c,0,0,1,1,2006
fuzz/client-test-bin-client.c,0,0,1,1,822
providers/implementations/rands/drbg_hmac.c,0,1,2,3,5103
test/chacha_internal_test-bin-chacha_internal_test.c,0,0,1,1,390
test/param_build_test-bin-param_build_test.c,0,0,3,3,17162
apps/openssl-bin-x509.c,5,6,3,14,14918
crypto/x509/v3_pcons.c,1,0,0,1,706
