File,for loops,while loops,do-while loops,total loops,total nodes
../samples/decompilations/coreutils/lib libcoreutils_a-xstrtoumax.c,0,1,7,8,2857
../samples/decompilations/coreutils/lib libcoreutils_a-strnlen1.c,0,0,0,0,92
../samples/decompilations/coreutils/lib unistr libcoreutils_a-u8-mbtoucr.c,0,0,0,0,758
../samples/decompilations/coreutils/lib libcoreutils_a-selinux-at.c,0,0,0,0,747
../samples/decompilations/coreutils/lib libcoreutils_a-file-set.c,0,0,0,0,513
../samples/decompilations/coreutils/lib libcoreutils_a-xfts.c,0,0,0,0,236
../samples/decompilations/coreutils/gnulib-tests locale.c,0,0,0,0,502
../samples/decompilations/coreutils/src id.c,0,4,3,7,4589
../samples/decompilations/coreutils/lib libcoreutils_a-mbrtowc.c,0,0,0,0,243
../samples/decompilations/coreutils/lib libcoreutils_a-savedir.c,0,1,1,2,1344
../samples/decompilations/coreutils/gnulib-tests localename-environ.c,0,0,0,0,193
../samples/decompilations/coreutils/lib libcoreutils_a-gethrxtime.c,0,0,0,0,150
../samples/decompilations/coreutils/lib libcoreutils_a-sha1-stream.c,0,0,1,1,452
../samples/decompilations/coreutils/lib unicase libcoreutils_a-tolower.c,0,0,0,0,157
../samples/decompilations/coreutils/lib libcoreutils_a-setlocale_null-unlocked.c,0,0,0,0,254
../samples/decompilations/coreutils/src libcksum_avx512_a-cksum_avx512.c,0,0,3,3,1240
../samples/decompilations/coreutils/lib libcoreutils_a-unlinkdir.c,0,0,0,0,1
../samples/decompilations/coreutils/lib libcoreutils_a-c-file-type.c,0,0,0,0,235
../samples/decompilations/coreutils/src sum-sum.c,0,0,8,8,3480
../samples/decompilations/coreutils/lib libcoreutils_a-freadptr.c,0,0,0,0,121
../samples/decompilations/coreutils/lib libcoreutils_a-hash-triple.c,0,0,0,0,213
../samples/decompilations/coreutils/gnulib-tests c32tob.c,0,0,0,0,34
../samples/decompilations/coreutils/src group-list.c,0,0,1,1,997
../samples/decompilations/coreutils/lib libcoreutils_a-pipe2.c,0,0,0,0,612
