File,for loops,while loops,do-while loops,total
../samples/decompilations/coreutils/lib libcoreutils_a-argmatch.c,0,1,4,1
../samples/decompilations/coreutils/src blake2 cksum-b2sum.c,0,0,1,0
../samples/decompilations/coreutils/src libcksum_avx2_a-cksum_avx2.c,0,0,3,0
../samples/decompilations/coreutils/src mknod.c,0,1,3,1
../samples/decompilations/coreutils/lib libcoreutils_a-write-any-file.c,0,0,0,0
../samples/decompilations/coreutils/src rmdir.c,0,1,5,1
../samples/decompilations/coreutils/lib libcoreutils_a-basename.c,0,0,0,0
../samples/decompilations/coreutils/src getlimits.c,0,1,1,1
../samples/decompilations/coreutils/src cksum-crctab.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-tmpdir.c,0,0,0,0
../samples/decompilations/coreutils/gnulib-tests localename.c,1,0,2,1
../samples/decompilations/coreutils/src tr.c,2,3,34,5
../samples/decompilations/coreutils/lib libcoreutils_a-quotearg.c,0,2,5,2
../samples/decompilations/coreutils/lib libcoreutils_a-binary-io.c,0,0,0,0
../samples/decompilations/coreutils/src od.c,0,7,35,7
../samples/decompilations/coreutils/lib libcoreutils_a-full-write.c,0,0,1,0
../samples/decompilations/coreutils/src mkdir.c,0,0,3,0
../samples/decompilations/coreutils/src pinky.c,0,5,6,5
../samples/decompilations/coreutils/lib libcoreutils_a-xstrtol.c,0,0,8,0
../samples/decompilations/coreutils/lib libcoreutils_a-se-label.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-version-etc-fsf.c,0,0,0,0
../samples/decompilations/coreutils/lib malloc libcoreutils_a-dynarray_at_failure.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-c32iscntrl.c,0,0,0,0
../samples/decompilations/coreutils/src sort.c,2,50,57,52
../samples/decompilations/coreutils/lib libcoreutils_a-c32isalnum.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-heap.c,0,1,1,1
../samples/decompilations/coreutils/lib libcoreutils_a-stat-time.c,0,0,0,0
../samples/decompilations/coreutils/src yes.c,0,1,4,1
../samples/decompilations/coreutils/lib unictype libcoreutils_a-ctype_blank.c,0,0,0,0
../samples/decompilations/coreutils/gnulib-tests vma-iter.c,1,4,3,5
../samples/decompilations/coreutils/src uname-uname.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-linebuffer.c,0,0,1,0
../samples/decompilations/coreutils/lib libcoreutils_a-c-ctype.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-freopen-safer.c,0,0,0,0
../samples/decompilations/coreutils/lib libcoreutils_a-file-set.c,0,0,0,0
