File,File,Repo,File,for loops,while loops,do-while loops,total,File,File,for loops,while loops,do-while loops,total loops,total nodes,File,for loops,while loops,do-while loops,total loops,total nodes
crypto/sha/sha256.c,crypto/sha/sha256.c,openssl,crypto/sha/sha256.c,3,2,0,5,crypto/sha/sha256.c,crypto/sha/sha256.c,0,0,3,3,5169,crypto/sha/sha256.c,8,0,3,11,3832
crypto/sha/sha1dgst.c,crypto/sha/sha1dgst.c,openssl,crypto/sha/sha1dgst.c,0,0,0,0,crypto/sha/sha1dgst.c,crypto/sha/sha1dgst.c,0,0,3,3,3269,crypto/sha/sha1dgst.c,3,0,3,6,2959
crypto/evp/e_aes_cbc_hmac_sha1.c,crypto/evp/e_aes_cbc_hmac_sha1.c,openssl,crypto/evp/e_aes_cbc_hmac_sha1.c,19,0,1,19,crypto/evp/e_aes_cbc_hmac_sha1.c,crypto/evp/e_aes_cbc_hmac_sha1.c,5,2,7,14,19259,crypto/evp/e_aes_cbc_hmac_sha1.c,9,2,7,18,18436
crypto/evp/e_chacha20_poly1305.c,crypto/evp/e_chacha20_poly1305.c,openssl,crypto/evp/e_chacha20_poly1305.c,5,2,0,7,crypto/evp/e_chacha20_poly1305.c,crypto/evp/e_chacha20_poly1305.c,0,2,5,7,9915,crypto/evp/e_chacha20_poly1305.c,3,2,5,10,9203
crypto/evp/encode.c,crypto/evp/encode.c,openssl,crypto/evp/encode.c,3,3,0,6,crypto/evp/encode.c,crypto/evp/encode.c,0,3,5,8,6345,crypto/evp/encode.c,1,3,5,9,6246
crypto/evp/e_aes_cbc_hmac_sha256.c,crypto/evp/e_aes_cbc_hmac_sha256.c,openssl,crypto/evp/e_aes_cbc_hmac_sha256.c,19,0,1,19,crypto/evp/e_aes_cbc_hmac_sha256.c,crypto/evp/e_aes_cbc_hmac_sha256.c,5,2,7,14,20648,crypto/evp/e_aes_cbc_hmac_sha256.c,9,2,7,18,19613
crypto/evp/pmeth_lib.c,crypto/evp/pmeth_lib.c,openssl,crypto/evp/pmeth_lib.c,2,0,0,2,crypto/evp/pmeth_lib.c,crypto/evp/pmeth_lib.c,0,2,0,2,32229,crypto/evp/pmeth_lib.c,1,2,0,3,30832
ssl/ssl_sess.c,ssl/ssl_sess.c,openssl,ssl/ssl_sess.c,0,3,1,3,ssl/ssl_sess.c,ssl/ssl_sess.c,2,3,5,10,27306,ssl/ssl_sess.c,17,3,5,25,25680
ssl/t1_lib.c,ssl/t1_lib.c,openssl,ssl/t1_lib.c,63,2,0,65,ssl/t1_lib.c,ssl/t1_lib.c,9,15,59,83,58166,ssl/t1_lib.c,11,15,59,85,56741
ssl/ssl_lib.c,ssl/ssl_lib.c,openssl,ssl/ssl_lib.c,24,5,0,29,ssl/ssl_lib.c,ssl/ssl_lib.c,3,6,32,41,114947,ssl/ssl_lib.c,8,6,32,46,110151
ssl/ssl_asn1.c,ssl/ssl_asn1.c,openssl,ssl/ssl_asn1.c,0,0,0,0,ssl/ssl_asn1.c,ssl/ssl_asn1.c,3,0,2,5,9847,ssl/ssl_asn1.c,12,0,2,14,8407
ssl/tls_srp.c,ssl/tls_srp.c,openssl,ssl/tls_srp.c,0,0,0,0,ssl/tls_srp.c,ssl/tls_srp.c,5,0,0,5,9669,ssl/tls_srp.c,8,0,0,8,9167
ssl/record/methods/dtls_meth.c,ssl/record/methods/dtls_meth.c,openssl,ssl/record/methods/dtls_meth.c,0,2,0,2,ssl/record/methods/dtls_meth.c,ssl/record/methods/dtls_meth.c,0,2,1,3,7923,ssl/record/methods/dtls_meth.c,4,2,1,7,7261
ssl/record/methods/tls_common.c,ssl/record/methods/tls_common.c,openssl,ssl/record/methods/tls_common.c,15,3,1,18,ssl/record/methods/tls_common.c,ssl/record/methods/tls_common.c,2,6,18,26,24956,ssl/record/methods/tls_common.c,3,6,18,27,24718
ssl/record/methods/tls13_meth.c,ssl/record/methods/tls13_meth.c,openssl,ssl/record/methods/tls13_meth.c,2,0,0,2,ssl/record/methods/tls13_meth.c,ssl/record/methods/tls13_meth.c,0,0,1,1,5610,ssl/record/methods/tls13_meth.c,1,0,1,2,5296
ssl/record/methods/ssl3_cbc.c,ssl/record/methods/ssl3_cbc.c,openssl,ssl/record/methods/ssl3_cbc.c,9,0,0,9,ssl/record/methods/ssl3_cbc.c,ssl/record/methods/ssl3_cbc.c,3,0,7,10,13410,ssl/record/methods/ssl3_cbc.c,13,0,7,20,10859
ssl/s3_lib.c,ssl/s3_lib.c,openssl,ssl/s3_lib.c,12,0,0,12,ssl/s3_lib.c,ssl/s3_lib.c,2,1,9,12,23960,ssl/s3_lib.c,3,1,9,13,23630
ssl/rio/poll_builder.c,ssl/rio/poll_builder.c,openssl,ssl/rio/poll_builder.c,1,0,2,1,ssl/rio/poll_builder.c,ssl/rio/poll_builder.c,0,0,3,3,1619,ssl/rio/poll_builder.c,1,0,3,4,1139
ssl/quic/quic_record_tx.c,ssl/quic/quic_record_tx.c,openssl,ssl/quic/quic_record_tx.c,11,0,0,11,ssl/quic/quic_record_tx.c,ssl/quic/quic_record_tx.c,0,5,7,12,10597,ssl/quic/quic_record_tx.c,1,5,7,13,10525
