File,for/loops,while/loops,do-while/loops,total
crypto/bio/libcrypto-lib-bio_addr.c,4,1,1,6
crypto/buffer/libcrypto-shlib-buffer.c,0,0,2,2
ssl/quic/libssl-shlib-qlog.c,2,3,4,9
crypto/bio/libcrypto-shlib-bss_dgram.c,1,4,9,14
crypto/evp/libcrypto-shlib-e_cast.c,0,0,4,4
crypto/des/libcrypto-lib-ofb_enc.c,0,1,1,2
crypto/bn/libcrypto-lib-bn_exp.c,1,5,37,43
fuzz/quic-server-test-bin-quic-server.c,0,0,1,1
crypto/x509/libcrypto-lib-v3_lib.c,2,0,1,3
crypto/x509/libcrypto-lib-x509_att.c,0,0,2,2
apps/lib/uitest-bin-apps_ui.c,0,0,1,1
crypto/asn1/libcrypto-lib-a_bitstr.c,0,1,2,3
crypto/evp/libcrypto-shlib-keymgmt_meth.c,0,0,1,1
providers/implementations/ciphers/libdefault-lib-cipher_aes_xts_hw.c,1,0,0,1
crypto/des/libcrypto-lib-xcbc_enc.c,0,0,2,2
test/helpers/json_test-bin-ssltestlib.c,4,7,12,23
crypto/evp/libcrypto-shlib-m_sigver.c,0,0,1,1
providers/implementations/kdfs/liblegacy-lib-pbkdf1.c,0,0,1,1
ssl/quic/libssl-shlib-quic_rx_depack.c,0,1,1,2
crypto/poly1305/libcrypto-lib-poly1305.c,0,0,2,2
crypto/des/libcrypto-lib-des_enc.c,0,0,4,4
crypto/x509/libcrypto-lib-v3_ncons.c,1,3,15,19
test/curve448_internal_test-bin-curve448_internal_test.c,0,1,2,3
fuzz/quic-rcidm-test-bin-fuzz_rand.c,0,0,1,1
crypto/evp/libcrypto-lib-ec_support.c,0,1,1,2
crypto/x509/libcrypto-shlib-v3_pci.c,0,3,1,4
test/cmp_ctx_test-bin-cmp_ctx_test.c,0,0,1,1
crypto/ts/libcrypto-shlib-ts_rsp_print.c,0,1,1,2
crypto/encode_decode/libcrypto-shlib-encoder_pkey.c,1,0,2,3
apps/openssl-bin-crl.c,0,2,2,4
