bestandsnaam,voor_origineel,voor_kol2,voor_kol3,voor_kol4,voor_kol5,na_origineel,na_kol2,na_kol3,na_kol4,na_kol5
file,File,for loops,while loops,do-while loops,total,File,for loops,while loops,do-while loops,total
ptx.c,../samples/.cache/coreutils/coreutils-9.7/src/ptx.c,16,15,0,31,../samples/decompilations/rerolled/src ptx.c,0,0,0,0
cat.c,../samples/.cache/coreutils/coreutils-9.7/src/cat.c,1,5,4,6,../samples/decompilations/rerolled/src cat.c,0,0,0,0
true.c,../samples/.cache/coreutils/coreutils-9.7/src/true.c,0,0,0,0,../samples/decompilations/rerolled/src true.c,0,0,0,0
mktemp.c,../samples/.cache/coreutils/coreutils-9.7/src/mktemp.c,1,1,0,2,../samples/decompilations/rerolled/src mktemp.c,0,0,0,0
nl.c,../samples/.cache/coreutils/coreutils-9.7/src/nl.c,1,3,0,4,../samples/decompilations/rerolled/src nl.c,0,0,0,0
unexpand.c,../samples/.cache/coreutils/coreutils-9.7/src/unexpand.c,0,3,1,3,../samples/decompilations/rerolled/src unexpand.c,0,0,0,0
wc_avx2.c,../samples/.cache/coreutils/coreutils-9.7/src/wc_avx2.c,1,2,0,3,,,,,
show-date.c,../samples/.cache/coreutils/coreutils-9.7/src/show-date.c,0,0,0,0,../samples/decompilations/rerolled/src show-date.c,0,0,0,0
pinky.c,../samples/.cache/coreutils/coreutils-9.7/src/pinky.c,3,6,0,9,../samples/decompilations/rerolled/src pinky.c,0,0,0,0
sync.c,../samples/.cache/coreutils/coreutils-9.7/src/sync.c,1,1,0,2,../samples/decompilations/rerolled/src sync.c,0,0,0,0
chown-chown.c,../samples/.cache/coreutils/coreutils-9.7/src/chown-chown.c,0,0,0,0,../samples/decompilations/rerolled/src chown-chown.c,0,0,0,0
logname.c,../samples/.cache/coreutils/coreutils-9.7/src/logname.c,0,0,0,0,../samples/decompilations/rerolled/src logname.c,0,0,0,0
truncate.c,../samples/.cache/coreutils/coreutils-9.7/src/truncate.c,1,3,0,4,../samples/decompilations/rerolled/src truncate.c,0,0,0,0
chown-core.c,../samples/.cache/coreutils/coreutils-9.7/src/chown-core.c,0,1,0,1,../samples/decompilations/rerolled/src chown-core.c,0,0,0,0
ls-dir.c,../samples/.cache/coreutils/coreutils-9.7/src/ls-dir.c,0,0,0,0,../samples/decompilations/rerolled/src ls-dir.c,0,0,0,0
realpath.c,../samples/.cache/coreutils/coreutils-9.7/src/realpath.c,1,2,0,3,../samples/decompilations/rerolled/src realpath.c,0,0,0,0
mknod.c,../samples/.cache/coreutils/coreutils-9.7/lib/mknod.c,0,0,0,0,../samples/decompilations/rerolled/src mknod.c,0,0,0,0
nohup.c,../samples/.cache/coreutils/coreutils-9.7/src/nohup.c,0,0,0,0,../samples/decompilations/rerolled/src nohup.c,0,0,0,0
crctab.c,../samples/.cache/coreutils/coreutils-9.7/src/crctab.c,0,0,0,0,,,,,
unsetenv.c,../samples/.cache/coreutils/coreutils-9.7/lib/unsetenv.c,0,2,1,2,,,,,
regex.c,../samples/.cache/coreutils/coreutils-9.7/lib/regex.c,0,0,0,0,,,,,
iconv_close.c,../samples/.cache/coreutils/coreutils-9.7/lib/iconv_close.c,0,0,0,0,,,,,
iswxdigit.c,../samples/.cache/coreutils/coreutils-9.7/lib/iswxdigit.c,0,0,0,0,,,,,
chownat.c,../samples/.cache/coreutils/coreutils-9.7/lib/chownat.c,0,0,0,0,,,,,
at-func2.c,../samples/.cache/coreutils/coreutils-9.7/lib/at-func2.c,0,0,0,0,,,,,
fsusage.c,../samples/.cache/coreutils/coreutils-9.7/lib/fsusage.c,0,0,0,0,,,,,
mini-gmp-gnulib.c,../samples/.cache/coreutils/coreutils-9.7/lib/mini-gmp-gnulib.c,0,0,0,0,,,,,
cl-strtod.c,../samples/.cache/coreutils/coreutils-9.7/gl/lib/cl-strtod.c,0,0,0,0,,,,,
