Repo,File,for loops,while loops,do-while loops,total
coreutil,lib/fts.c,12,6,0,18
coreutil,lib/xsize.c,0,0,0,0
coreutil,lib/wmemchr.c,0,0,0,0
coreutil,lib/cl-strtold.c,0,0,0,0
coreutil,lib/fseeko.c,0,0,0,0
coreutil,lib/long-options.c,0,0,0,0
coreutil,lib/nl_langinfo.c,0,0,0,0
coreutil,lib/vzprintf.c,0,0,0,0
coreutil,lib/freadahead.c,0,0,0,0
coreutil,lib/isblank.c,0,0,0,0
coreutil,lib/file-set.c,0,0,0,0
coreutil,lib/mbszero.c,0,0,0,0
coreutil,lib/xnanosleep.c,1,0,1,1
coreutil,lib/fpending.c,0,0,0,0
coreutil,lib/heap.c,0,2,0,2
coreutil,lib/c32islower.c,0,0,0,0
coreutil,lib/buffer-lcm.c,1,0,0,1
coreutil,lib/open.c,0,0,0,0
coreutil,lib/timespec.c,0,0,0,0
coreutil,lib/fdatasync.c,0,0,0,0
coreutil,lib/regcomp.c,37,10,2,47
coreutil,lib/sigprocmask.c,4,0,0,4
coreutil,lib/dup-safer-flag.c,0,0,0,0
coreutil,lib/getlogin.c,1,0,0,1
coreutil,lib/getprogname.c,1,0,0,1
coreutil,lib/renameat.c,0,0,0,0
coreutil,lib/gai_strerror.c,1,0,0,1
coreutil,lib/mbsrtowcs.c,0,0,0,0
coreutil,lib/openat-die.c,0,0,0,0
coreutil,lib/reallocarray.c,0,0,0,0
coreutil,lib/xreadlink.c,0,0,0,0
coreutil,lib/windows-timedrecmutex.c,1,2,0,3
coreutil,lib/utime.c,0,2,0,2
coreutil,lib/pselect.c,1,0,0,1
coreutil,lib/time_r.c,0,0,0,0
coreutil,lib/parse-datetime.c,20,8,3,28
coreutil,lib/arpa_inet.c,0,0,0,0
coreutil,lib/byteswap.c,0,0,0,0
coreutil,lib/gethostname.c,0,0,0,0
coreutil,lib/stat-time.c,0,0,0,0
coreutil,lib/human.c,3,0,3,3
coreutil,lib/pthread_mutex_timedlock.c,1,0,0,1
coreutil,lib/isapipe.c,0,0,0,0
coreutil,lib/areadlink-with-size.c,0,1,0,1
coreutil,lib/hash-pjw.c,1,0,0,1
coreutil,lib/se-label.c,0,0,0,0
coreutil,lib/xdectoimax.c,0,0,0,0
coreutil,lib/fpurge.c,0,0,0,0
coreutil,lib/fopen-safer.c,0,0,0,0
