File,for loops,while loops,do-while loops,total
providers/implementations/digests/libdefault-lib-ripemd_prov.c,1,0,0,1
providers/implementations/digests/libdefault-lib-sha2_prov.c,8,0,0,8
providers/implementations/digests/libdefault-lib-sm3_prov.c,1,0,0,1
providers/implementations/digests/liblegacy-lib-md4_prov.c,1,0,0,1
providers/implementations/digests/liblegacy-lib-ripemd_prov.c,1,0,0,1
providers/implementations/digests/liblegacy-lib-wp_prov.c,1,0,0,1
providers/implementations/encode_decode/libdefault-lib-ml_common_codecs.c,2,0,2,4
providers/implementations/kdfs/libdefault-lib-argon2.c,14,6,21,41
providers/implementations/kdfs/libdefault-lib-krb5kdf.c,3,1,4,8
providers/implementations/kdfs/libdefault-lib-pbkdf2.c,3,0,2,5
providers/implementations/kdfs/libdefault-lib-pkcs12kdf.c,3,1,6,10
providers/implementations/kdfs/libdefault-lib-sshkdf.c,3,1,0,4
providers/implementations/kdfs/libdefault-lib-sskdf.c,2,3,0,5
providers/implementations/kdfs/libdefault-lib-tls1_prf.c,4,2,1,7
providers/implementations/kdfs/liblegacy-lib-pbkdf1.c,3,0,1,4
providers/implementations/keymgmt/libdefault-lib-ec_kmgmt.c,1,0,0,1
providers/implementations/macs/libdefault-lib-siphash_prov.c,4,0,0,4
providers/implementations/rands/libdefault-lib-drbg_ctr.c,2,0,6,8
providers/implementations/rands/libdefault-lib-drbg_hash.c,3,3,8,14
ssl/libssl-lib-s3_lib.c,3,1,9,13
ssl/libssl-lib-ssl_asn1.c,12,0,2,14
ssl/libssl-lib-ssl_conf.c,1,1,8,10
ssl/libssl-lib-ssl_lib.c,8,6,32,46
ssl/libssl-lib-ssl_sess.c,17,3,5,25
ssl/libssl-lib-t1_lib.c,11,15,59,85
ssl/libssl-lib-tls_srp.c,8,0,0,8
ssl/libssl-shlib-s3_lib.c,3,1,9,13
ssl/libssl-shlib-ssl_asn1.c,12,0,2,14
ssl/libssl-shlib-ssl_conf.c,1,1,8,10
ssl/libssl-shlib-ssl_lib.c,8,6,32,46
ssl/libssl-shlib-ssl_sess.c,17,3,5,25
ssl/libssl-shlib-t1_lib.c,11,15,59,85
ssl/libssl-shlib-tls_srp.c,8,0,0,8
ssl/quic/libssl-lib-json_enc.c,6,1,10,17
ssl/quic/libssl-lib-qlog.c,4,3,4,11
ssl/quic/libssl-lib-quic_channel.c,16,4,10,30
ssl/quic/libssl-lib-quic_demux.c,2,5,3,10
ssl/quic/libssl-lib-quic_fc.c,1,0,0,1
ssl/quic/libssl-lib-quic_rcidm.c,16,3,1,20
ssl/quic/libssl-lib-quic_record_rx.c,1,7,4,12
ssl/quic/libssl-lib-quic_record_tx.c,1,5,7,13
ssl/quic/libssl-lib-quic_wire.c,3,0,9,12
ssl/quic/libssl-lib-quic_wire_pkt.c,5,0,3,8
ssl/quic/libssl-shlib-json_enc.c,6,1,10,17
ssl/quic/libssl-shlib-qlog.c,4,3,4,11
ssl/quic/libssl-shlib-quic_channel.c,16,4,10,30
ssl/quic/libssl-shlib-quic_demux.c,2,5,3,10
ssl/quic/libssl-shlib-quic_fc.c,1,0,0,1
ssl/quic/libssl-shlib-quic_rcidm.c,16,3,1,20
ssl/quic/libssl-shlib-quic_record_rx.c,1,7,4,12
ssl/quic/libssl-shlib-quic_record_tx.c,1,5,7,13
ssl/quic/libssl-shlib-quic_wire.c,3,0,9,12
ssl/quic/libssl-shlib-quic_wire_pkt.c,5,0,3,8
ssl/record/methods/libdefault-lib-ssl3_cbc.c,13,0,7,20
ssl/record/methods/libssl-lib-dtls_meth.c,4,2,1,7
ssl/record/methods/libssl-lib-tls13_meth.c,1,0,1,2
ssl/record/methods/libssl-lib-tls_common.c,3,6,18,27
ssl/record/methods/libssl-shlib-dtls_meth.c,4,2,1,7
ssl/record/methods/libssl-shlib-ssl3_cbc.c,13,0,7,20
ssl/record/methods/libssl-shlib-tls13_meth.c,1,0,1,2
ssl/record/methods/libssl-shlib-tls_common.c,3,6,18,27
ssl/rio/libssl-lib-poll_builder.c,1,0,3,4
ssl/rio/libssl-shlib-poll_builder.c,1,0,3,4
ssl/statem/libssl-lib-extensions_clnt.c,7,3,8,18
ssl/statem/libssl-lib-statem.c,2,0,0,2
ssl/statem/libssl-lib-statem_clnt.c,6,0,4,10
ssl/statem/libssl-lib-statem_dtls.c,7,6,6,19
ssl/statem/libssl-lib-statem_lib.c,5,2,12,19
ssl/statem/libssl-lib-statem_srvr.c,10,1,7,18
ssl/statem/libssl-shlib-extensions_clnt.c,7,3,8,18
ssl/statem/libssl-shlib-statem.c,2,0,0,2
ssl/statem/libssl-shlib-statem_clnt.c,6,0,4,10
ssl/statem/libssl-shlib-statem_dtls.c,7,6,6,19
ssl/statem/libssl-shlib-statem_lib.c,5,2,12,19
ssl/statem/libssl-shlib-statem_srvr.c,10,1,7,18
test/bftest-bin-bftest.c,9,1,11,21
test/bio_enc_test-bin-bio_enc_test.c,11,2,3,16
test/bio_pw_callback_test-bin-bio_pw_callback_test.c,2,1,1,4
test/destest-bin-destest.c,12,0,5,17
test/drbgtest-bin-drbgtest.c,4,1,6,11
test/evp_pkey_provided_test-bin-evp_pkey_provided_test.c,4,9,3,16
test/evp_test-bin-evp_test.c,13,14,39,66
test/evp_xof_test-bin-evp_xof_test.c,2,0,4,6
test/helpers/asynciotest-bin-ssltestlib.c,6,7,12,25
test/helpers/dtls_mtu_test-bin-ssltestlib.c,6,7,12,25
test/helpers/dtlstest-bin-ssltestlib.c,6,7,12,25
test/helpers/fatalerrtest-bin-ssltestlib.c,6,7,12,25
test/helpers/json_test-bin-quictestlib.c,1,1,11,13
test/helpers/json_test-bin-ssltestlib.c,6,7,12,25
test/helpers/quicapitest-bin-quictestlib.c,1,1,11,13
test/helpers/quicapitest-bin-ssltestlib.c,6,7,12,25
test/helpers/quicfaultstest-bin-quictestlib.c,1,1,11,13
