file,File,Repo,File,for loops,while loops,do-while loops,total,File,File,for loops,while loops,do-while loops,total,File,for loops,while loops,do-while loops,total
crypto/ec/curve448/scalar.c,crypto/ec/curve448/scalar.c,openssl,crypto/ec/curve448/scalar.c,13,1,0,14,crypto/ec/curve448/scalar.c,crypto/ec/curve448/scalar.c,0,1,7,1,crypto/ec/curve448/scalar.c,4,1,7,12
crypto/ec/curve448/f_generic.c,crypto/ec/curve448/f_generic.c,openssl,crypto/ec/curve448/f_generic.c,5,1,0,6,crypto/ec/curve448/f_generic.c,crypto/ec/curve448/f_generic.c,0,1,9,1,crypto/ec/curve448/f_generic.c,1,1,9,11
crypto/ec/ec2_smpl.c,crypto/ec/ec2_smpl.c,openssl,crypto/ec/ec2_smpl.c,1,0,2,1,crypto/ec/ec2_smpl.c,crypto/ec/ec2_smpl.c,0,0,3,0,crypto/ec/ec2_smpl.c,4,0,3,7
crypto/ec/ecp_nistz256.c,crypto/ec/ecp_nistz256.c,openssl,crypto/ec/ecp_nistz256.c,21,1,0,22,crypto/ec/ecp_nistz256.c,crypto/ec/ecp_nistz256.c,1,3,18,4,crypto/ec/ecp_nistz256.c,7,3,18,28
crypto/ec/curve25519.c,crypto/ec/curve25519.c,openssl,crypto/ec/curve25519.c,54,0,0,54,crypto/ec/curve25519.c,crypto/ec/curve25519.c,1,2,38,3,crypto/ec/curve25519.c,25,2,38,65
crypto/ec/ec_mult.c,crypto/ec/ec_mult.c,openssl,crypto/ec/ec_mult.c,17,0,0,17,crypto/ec/ec_mult.c,crypto/ec/ec_mult.c,0,3,14,3,crypto/ec/ec_mult.c,4,3,14,21
crypto/ec/ecp_smpl.c,crypto/ec/ecp_smpl.c,openssl,crypto/ec/ecp_smpl.c,5,0,4,5,crypto/ec/ecp_smpl.c,crypto/ec/ecp_smpl.c,1,0,8,1,crypto/ec/ecp_smpl.c,4,0,8,12
crypto/ffc/ffc_params_validate.c,crypto/ffc/ffc_params_validate.c,openssl,crypto/ffc/ffc_params_validate.c,0,0,0,0,crypto/ffc/ffc_params_validate.c,crypto/ffc/ffc_params_validate.c,1,0,0,1,crypto/ffc/ffc_params_validate.c,2,0,0,2
crypto/ffc/ffc_params.c,crypto/ffc/ffc_params.c,openssl,crypto/ffc/ffc_params.c,1,0,0,1,crypto/ffc/ffc_params.c,crypto/ffc/ffc_params.c,1,1,0,2,crypto/ffc/ffc_params.c,2,1,0,3
crypto/whrlpool/wp_dgst.c,crypto/whrlpool/wp_dgst.c,openssl,crypto/whrlpool/wp_dgst.c,2,3,1,5,crypto/whrlpool/wp_dgst.c,crypto/whrlpool/wp_dgst.c,1,2,5,3,crypto/whrlpool/wp_dgst.c,11,2,5,18
crypto/rsa/rsa_ossl.c,crypto/rsa/rsa_ossl.c,openssl,crypto/rsa/rsa_ossl.c,4,0,0,4,crypto/rsa/rsa_ossl.c,crypto/rsa/rsa_ossl.c,0,1,3,1,crypto/rsa/rsa_ossl.c,1,1,3,5
crypto/rsa/rsa_mp.c,crypto/rsa/rsa_mp.c,openssl,crypto/rsa/rsa_mp.c,1,0,0,1,crypto/rsa/rsa_mp.c,crypto/rsa/rsa_mp.c,0,0,1,0,crypto/rsa/rsa_mp.c,1,0,1,2
crypto/bf/bf_enc.c,crypto/bf/bf_enc.c,openssl,crypto/bf/bf_enc.c,2,0,0,2,crypto/bf/bf_enc.c,crypto/bf/bf_enc.c,0,0,2,0,crypto/bf/bf_enc.c,2,0,2,4
crypto/md4/md4_dgst.c,crypto/md4/md4_dgst.c,openssl,crypto/md4/md4_dgst.c,1,0,0,1,crypto/md4/md4_dgst.c,crypto/md4/md4_dgst.c,0,0,4,0,crypto/md4/md4_dgst.c,3,0,4,7
crypto/modes/cbc128.c,crypto/modes/cbc128.c,openssl,crypto/modes/cbc128.c,10,8,0,18,crypto/modes/cbc128.c,crypto/modes/cbc128.c,0,0,3,0,crypto/modes/cbc128.c,2,0,3,5
