bestandsnaam,voor_origineel,voor_kol2,voor_kol3,voor_kol4,voor_kol5,na_origineel,na_kol2,na_kol3,na_kol4,na_kol5
file,File,for loops,while loops,do-while loops,total,File,for loops,while loops,do-while loops,total
pcre2_auto_possess_16.linuxbsd.editor.x86_64.c,../samples/decompilations/rerolled/thirdparty pcre2 src pcre2_auto_possess_16.linuxbsd.editor.x86_64.c,3,3,9,15,,,,,
libcrypto-lib-dh_backend.c,../samples/decompilations/rerolled/crypto dh libcrypto-lib-dh_backend.c,0,0,0,0,,,,,
libdefault-lib-decode_pvk2key.c,../samples/decompilations/rerolled/providers implementations encode_decode libdefault-lib-decode_pvk2key.c,1,0,0,1,,,,,
theme_owner.linuxbsd.editor.x86_64.c,../samples/decompilations/rerolled/scene theme theme_owner.linuxbsd.editor.x86_64.c,9,13,8,30,,,,,
libssl-lib-t1_lib.c,../samples/decompilations/rerolled/ssl libssl-lib-t1_lib.c,11,15,59,85,,,,,
ustack.linuxbsd.editor.x86_64.c,../samples/decompilations/rerolled/thirdparty icu4c common ustack.linuxbsd.editor.x86_64.c,0,0,0,0,,,,,
libdefault-lib-cipher_chacha20_hw.c,../samples/decompilations/rerolled/providers implementations ciphers libdefault-lib-cipher_chacha20_hw.c,2,2,3,7,,,,,
link_button.linuxbsd.editor.x86_64.c,../samples/decompilations/rerolled/scene gui link_button.linuxbsd.editor.x86_64.c,5,0,9,14,,,,,
find-mount-point.c,../samples/decompilations/rerolled/src find-mount-point.c,0,0,0,0,../samples/.cache/coreutils/coreutils-9.7/src/find-mount-point.c,0,1,0,1
scene_replication_config.linuxbsd.editor.x86_64.c,../samples/decompilations/rerolled/modules multiplayer scene_replication_config.linuxbsd.editor.x86_64.c,14,1,39,54,,,,,
upsampling_mips_dsp_r2.linuxbsd.editor.x86_64.c,../samples/decompilations/rerolled/thirdparty libwebp src dsp upsampling_mips_dsp_r2.linuxbsd.editor.x86_64.c,0,0,0,0,,,,,
huf_decompress_amd64.linuxbsd.editor.x86_64.c,../samples/decompilations/rerolled/thirdparty zstd decompress huf_decompress_amd64.linuxbsd.editor.x86_64.c,5,1,1,7,,,,,
fontconfig-so_wrap.linuxbsd.editor.x86_64.c,../samples/decompilations/rerolled/platform linuxbsd fontconfig-so_wrap.linuxbsd.editor.x86_64.c,0,0,0,0,,,,,
libcrypto-lib-bf_enc.c,../samples/decompilations/rerolled/crypto bf libcrypto-lib-bf_enc.c,2,0,2,4,,,,,
world_environment.linuxbsd.editor.x86_64.c,../samples/decompilations/rerolled/scene 3d world_environment.linuxbsd.editor.x86_64.c,4,1,9,14,,,,,
libcrypto-shlib-v3_sxnet.c,../samples/decompilations/rerolled/crypto x509 libcrypto-shlib-v3_sxnet.c,0,0,0,0,,,,,
libcrypto-shlib-bio_print.c,../samples/decompilations/rerolled/crypto bio libcrypto-shlib-bio_print.c,0,0,0,0,,,,,
libcrypto-lib-x509_cmp.c,../samples/decompilations/rerolled/crypto x509 libcrypto-lib-x509_cmp.c,0,0,0,0,,,,,
libcrypto-shlib-ecx_meth.c,../samples/decompilations/rerolled/crypto ec libcrypto-shlib-ecx_meth.c,0,0,0,0,,,,,
rm.c,../samples/decompilations/rerolled/src rm.c,0,0,0,0,../samples/.cache/coreutils/coreutils-9.7/src/rm.c,1,1,0,2
registry.linuxbsd.editor.x86_64.c,../samples/decompilations/rerolled/thirdparty libvorbis registry.linuxbsd.editor.x86_64.c,0,0,0,0,,,,,
translation_loader_po.linuxbsd.editor.x86_64.c,../samples/decompilations/rerolled/core io translation_loader_po.linuxbsd.editor.x86_64.c,9,11,16,36,,,,,
libcrypto-shlib-rc2cfb64.c,../samples/decompilations/rerolled/crypto rc2 libcrypto-shlib-rc2cfb64.c,0,0,0,0,,,,,
libcrypto-shlib-x86_64cpuid.c,../samples/decompilations/rerolled/crypto libcrypto-shlib-x86_64cpuid.c,2,2,10,14,,,,,
editor_file_dialog.linuxbsd.editor.x86_64.c,../samples/decompilations/rerolled/editor gui editor_file_dialog.linuxbsd.editor.x86_64.c,34,47,107,188,,,,,
libcrypto-shlib-seed_cbc.c,../samples/decompilations/rerolled/crypto seed libcrypto-shlib-seed_cbc.c,0,0,0,0,,,,,
texture_loader_dds.linuxbsd.editor.x86_64.c,../samples/decompilations/rerolled/modules dds texture_loader_dds.linuxbsd.editor.x86_64.c,12,1,26,39,,,,,
libcrypto-lib-nullprov.c,../samples/decompilations/rerolled/providers libcrypto-lib-nullprov.c,0,0,0,0,,,,,
openxr_fb_foveation_extension.linuxbsd.editor.x86_64.c,../samples/decompilations/rerolled/modules openxr extensions openxr_fb_foveation_extension.linuxbsd.editor.x86_64.c,1,1,8,10,,,,,
quaternion.linuxbsd.editor.x86_64.c,../samples/decompilations/rerolled/core math quaternion.linuxbsd.editor.x86_64.c,1,0,0,1,,,,,
libcrypto-lib-rand_key.c,../samples/decompilations/rerolled/crypto des libcrypto-lib-rand_key.c,0,0,0,0,,,,,
ftdebug.linuxbsd.editor.x86_64.c,../samples/decompilations/rerolled/thirdparty freetype src base ftdebug.linuxbsd.editor.x86_64.c,0,0,0,0,,,,,
openssl-bin-rsautl.c,../samples/decompilations/rerolled/apps openssl-bin-rsautl.c,0,0,0,0,,,,,
pcre2_tables_32.linuxbsd.editor.x86_64.c,../samples/decompilations/rerolled/thirdparty pcre2 src pcre2_tables_32.linuxbsd.editor.x86_64.c,0,0,0,0,,,,,
libssl-shlib-quic_sstream.c,../samples/decompilations/rerolled/ssl quic libssl-shlib-quic_sstream.c,0,0,0,0,,,,,
