bestandsnaam,voor_origineel,voor_kol2,voor_kol3,voor_kol4,voor_kol5,na_origineel,na_kol2,na_kol3,na_kol4,na_kol5
file,File,for loops,while loops,do-while loops,total loops,total nodes,File,for loops,while loops,do-while loops,total loops,total nodes
crypto/des/fcrypt.c,crypto/des/fcrypt.c,0,0,2,2,2434,crypto/des/fcrypt.c,2,0,2,4,2336
ssl/rio/poll_builder.c,ssl/rio/poll_builder.c,0,0,3,3,1619,ssl/rio/poll_builder.c,1,0,3,4,1139
test/quic_multistream_test-bin-quic_multistream_test.c,test/quic_multistream_test-bin-quic_multistream_test.c,4,4,13,21,54473,test/quic_multistream_test-bin-quic_multistream_test.c,5,4,13,22,54391
crypto/ec/ec2_smpl.c,crypto/ec/ec2_smpl.c,0,0,3,3,12752,crypto/ec/ec2_smpl.c,4,0,3,7,11042
providers/implementations/kdfs/krb5kdf.c,providers/implementations/kdfs/krb5kdf.c,0,1,4,5,4163,providers/implementations/kdfs/krb5kdf.c,3,1,4,8,3903
crypto/err/err_save.c,crypto/err/err_save.c,2,0,6,8,4533,crypto/err/err_save.c,3,0,6,9,4497
apps/ca_internals_test-bin-ca.c,apps/ca_internals_test-bin-ca.c,6,4,13,23,26851,apps/ca_internals_test-bin-ca.c,11,4,13,28,26589
crypto/hpke/hpke.c,crypto/hpke/hpke.c,1,0,0,1,18038,crypto/hpke/hpke.c,4,0,0,4,17967
test/provider_test-bin-provider_test.c,test/provider_test-bin-provider_test.c,0,1,1,2,3710,test/provider_test-bin-provider_test.c,2,1,1,4,3538
ssl/statem/statem_clnt.c,ssl/statem/statem_clnt.c,4,0,4,8,47184,ssl/statem/statem_clnt.c,6,0,4,10,45942
crypto/asn1/asn_mime.c,crypto/asn1/asn_mime.c,1,24,7,32,16291,crypto/asn1/asn_mime.c,3,24,7,34,15235
crypto/deterministic_nonce.c,crypto/deterministic_nonce.c,0,0,2,2,1691,crypto/deterministic_nonce.c,1,0,2,3,1534
crypto/ffc/ffc_params_validate.c,crypto/ffc/ffc_params_validate.c,1,0,0,1,1671,crypto/ffc/ffc_params_validate.c,2,0,0,2,1648
test/helpers/recordlentest-bin-ssltestlib.c,test/helpers/recordlentest-bin-ssltestlib.c,4,7,12,23,18890,test/helpers/recordlentest-bin-ssltestlib.c,6,7,12,25,18505
ssl/tls_srp.c,ssl/tls_srp.c,5,0,0,5,9669,ssl/tls_srp.c,8,0,0,8,9167
crypto/ec/curve448/f_generic.c,crypto/ec/curve448/f_generic.c,0,1,9,10,6433,crypto/ec/curve448/f_generic.c,1,1,9,11,6437
ssl/statem/statem_dtls.c,ssl/statem/statem_dtls.c,1,6,6,13,17258,ssl/statem/statem_dtls.c,7,6,6,19,16609
test/helpers/ssl_handshake_rtt_test-bin-ssltestlib.c,test/helpers/ssl_handshake_rtt_test-bin-ssltestlib.c,4,7,12,23,18890,test/helpers/ssl_handshake_rtt_test-bin-ssltestlib.c,6,7,12,25,18505
test/helpers/json_test-bin-quictestlib.c,test/helpers/json_test-bin-quictestlib.c,0,1,11,12,15422,test/helpers/json_test-bin-quictestlib.c,1,1,11,13,15095
apps/openssl-bin-speed.c,apps/openssl-bin-speed.c,41,117,129,287,105150,apps/openssl-bin-speed.c,58,117,129,304,102783
crypto/cmac/cmac.c,crypto/cmac/cmac.c,0,0,6,6,5887,crypto/cmac/cmac.c,1,0,6,7,5839
crypto/des/ofb64enc.c,crypto/des/ofb64enc.c,0,0,1,1,789,crypto/des/ofb64enc.c,2,0,1,3,609
crypto/ec/ecp_smpl.c,crypto/ec/ecp_smpl.c,1,0,8,9,24605,crypto/ec/ecp_smpl.c,4,0,8,12,22537
test/drbgtest-bin-drbgtest.c,test/drbgtest-bin-drbgtest.c,2,1,6,9,14270,test/drbgtest-bin-drbgtest.c,4,1,6,11,14256
providers/implementations/kdfs/tls1_prf.c,providers/implementations/kdfs/tls1_prf.c,1,2,1,4,4819,providers/implementations/kdfs/tls1_prf.c,4,2,1,7,4652
crypto/sha/sha512.c,crypto/sha/sha512.c,3,0,1,4,6799,crypto/sha/sha512.c,10,0,1,11,5318
ssl/quic/quic_wire_pkt.c,ssl/quic/quic_wire_pkt.c,2,0,3,5,14046,ssl/quic/quic_wire_pkt.c,5,0,3,8,13728
test/helpers/quic_srt_gen_test-bin-ssltestlib.c,test/helpers/quic_srt_gen_test-bin-ssltestlib.c,4,7,12,23,18890,test/helpers/quic_srt_gen_test-bin-ssltestlib.c,6,7,12,25,18505
test/quic_ackm_test-bin-quic_ackm_test.c,test/quic_ackm_test-bin-quic_ackm_test.c,0,1,12,13,7092,test/quic_ackm_test-bin-quic_ackm_test.c,1,1,12,14,6770
test/helpers/dtlstest-bin-ssltestlib.c,test/helpers/dtlstest-bin-ssltestlib.c,4,7,12,23,18890,test/helpers/dtlstest-bin-ssltestlib.c,6,7,12,25,18505
test/evp_xof_test-bin-evp_xof_test.c,test/evp_xof_test-bin-evp_xof_test.c,1,0,4,5,5663,test/evp_xof_test-bin-evp_xof_test.c,2,0,4,6,5585
crypto/des/cfb_enc.c,crypto/des/cfb_enc.c,0,2,4,6,6813,crypto/des/cfb_enc.c,2,2,4,8,6803
providers/implementations/kdfs/argon2.c,providers/implementations/kdfs/argon2.c,13,6,21,40,37164,providers/implementations/kdfs/argon2.c,14,6,21,41,37006
apps/openssl-bin-ts.c,apps/openssl-bin-ts.c,1,2,1,4,8426,apps/openssl-bin-ts.c,1,2,1,4,3411
providers/implementations/encode_decode/ml_common_codecs.c,providers/implementations/encode_decode/ml_common_codecs.c,0,0,2,2,1128,providers/implementations/encode_decode/ml_common_codecs.c,2,0,2,4,806
ssl/ssl_lib.c,ssl/ssl_lib.c,3,6,32,41,114947,ssl/ssl_lib.c,8,6,32,46,110151
test/helpers/sslcorrupttest-bin-ssltestlib.c,test/helpers/sslcorrupttest-bin-ssltestlib.c,4,7,12,23,18890,test/helpers/sslcorrupttest-bin-ssltestlib.c,6,7,12,25,18505
crypto/whrlpool/wp_dgst.c,crypto/whrlpool/wp_dgst.c,1,2,5,8,5126,crypto/whrlpool/wp_dgst.c,11,2,5,18,4447
test/helpers/servername_test-bin-ssltestlib.c,test/helpers/servername_test-bin-ssltestlib.c,4,7,12,23,18890,test/helpers/servername_test-bin-ssltestlib.c,6,7,12,25,18505
crypto/des/cbc_enc.c,crypto/des/cbc_enc.c,0,0,2,2,2153,crypto/des/cbc_enc.c,2,0,2,4,2139
test/helpers/asynciotest-bin-ssltestlib.c,test/helpers/asynciotest-bin-ssltestlib.c,4,7,12,23,18890,test/helpers/asynciotest-bin-ssltestlib.c,6,7,12,25,18505
providers/implementations/digests/blake2s_prov.c,providers/implementations/digests/blake2s_prov.c,2,0,1,3,16208,providers/implementations/digests/blake2s_prov.c,3,0,1,4,16117
test/bftest-bin-bftest.c,test/bftest-bin-bftest.c,3,1,11,15,4441,test/bftest-bin-bftest.c,9,1,11,21,4431
providers/implementations/ciphers/cipher_tdes_default_hw.c,providers/implementations/ciphers/cipher_tdes_default_hw.c,0,0,4,4,2623,providers/implementations/ciphers/cipher_tdes_default_hw.c,1,0,4,5,2123
