File,for loops,while loops,do-while loops,total
../samples/decompilations/rerolled/fuzz hashtable-test-bin-fuzz_rand.c,0,0,0,0
../samples/decompilations/rerolled/crypto x509 libcrypto-lib-v3_admis.c,0,0,0,0
../samples/decompilations/rerolled/thirdparty libktx lib dfdutils createdfd.linuxbsd.editor.x86_64.c,1,1,11,13
../samples/decompilations/rerolled/crypto ec libcrypto-lib-ec_pmeth.c,0,0,0,0
../samples/decompilations/rerolled/crypto x509 libcrypto-lib-v3_sda.c,0,0,0,0
../samples/decompilations/rerolled/thirdparty icu4c common uloc_keytype.linuxbsd.editor.x86_64.c,1,7,11,19
../samples/decompilations/rerolled/modules basis_universal register_types.linuxbsd.editor.x86_64.c,0,0,0,0
../samples/decompilations/rerolled/editor plugins gizmos joint_3d_gizmo_plugin.linuxbsd.editor.x86_64.c,20,9,12,41
../samples/decompilations/rerolled/thirdparty volk volk.linuxbsd.editor.x86_64.c,2,0,0,2
../samples/decompilations/rerolled/crypto ts libcrypto-shlib-ts_conf.c,0,0,0,0
../samples/decompilations/rerolled/providers implementations ciphers libdefault-lib-cipher_tdes.c,0,0,0,0
../samples/decompilations/rerolled/lib libcoreutils_a-qcopy-acl.c,0,0,0,0
../samples/decompilations/rerolled/crypto property libcrypto-lib-property_string.c,4,0,0,4
../samples/decompilations/rerolled/crypto ec libcrypto-lib-eck_prn.c,0,0,0,0
../samples/decompilations/rerolled/modules godot_physics_3d godot_collision_solver_3d_sat.linuxbsd.editor.x86_64.c,0,0,0,0
../samples/decompilations/rerolled/crypto srp libcrypto-shlib-srp_vfy.c,0,0,0,0
../samples/decompilations/rerolled/servers rendering renderer_rd uniform_set_cache_rd.linuxbsd.editor.x86_64.c,7,1,18,26
../samples/decompilations/rerolled/crypto rsa libcrypto-lib-rsa_sign.c,1,0,0,1
../samples/decompilations/rerolled/thirdparty libwebp src dsp lossless_enc_sse2.linuxbsd.editor.x86_64.c,9,1,35,45
../samples/decompilations/rerolled/crypto x509 libcrypto-lib-v3_bitst.c,0,0,0,0
../samples/decompilations/rerolled/src pathchk.c,0,0,0,0
../samples/decompilations/rerolled/thirdparty mbedtls library pk.linuxbsd.editor.x86_64.c,9,0,0,9
../samples/decompilations/rerolled/crypto modes libcrypto-lib-cfb128.c,0,0,0,0
../samples/decompilations/rerolled/crypto ec libcrypto-lib-ec_kmeth.c,1,0,0,1
../samples/decompilations/rerolled/modules gltf skin_tool.linuxbsd.editor.x86_64.c,24,53,118,195
../samples/decompilations/rerolled/servers audio effects audio_effect_reverb.linuxbsd.editor.x86_64.c,7,1,29,37
../samples/decompilations/rerolled/thirdparty embree kernels common alloc.linuxbsd.editor.x86_64.c,6,11,26,43
../samples/decompilations/rerolled/editor plugins gizmos light_3d_gizmo_plugin.linuxbsd.editor.x86_64.c,0,0,0,0
../samples/decompilations/rerolled/thirdparty embree kernels bvh bvh_builder_sah_mb.linuxbsd.editor.x86_64.c,28,43,108,179
../samples/decompilations/rerolled/apps lib ca_internals_test-bin-engine.c,0,0,0,0
../samples/decompilations/rerolled/thirdparty libwebp src enc backward_references_enc.linuxbsd.editor.x86_64.c,0,0,0,0
../samples/decompilations/rerolled/thirdparty pcre2 src pcre2_extuni_32.linuxbsd.editor.x86_64.c,0,0,0,0
../samples/decompilations/rerolled/crypto libcrypto-shlib-cryptlib.c,0,0,0,0
../samples/decompilations/rerolled/thirdparty harfbuzz src hb-ot-shaper-indic-table.linuxbsd.editor.x86_64.c,1,0,0,1
../samples/decompilations/rerolled/crypto engine libcrypto-lib-eng_fat.c,0,0,0,0
../samples/decompilations/rerolled/thirdparty jpeg-compressor jpgd.linuxbsd.editor.x86_64.c,15,18,86,119
../samples/decompilations/rerolled/src chown-core.c,0,0,0,0
../samples/decompilations/rerolled/core io http_client_tcp.linuxbsd.editor.x86_64.c,5,3,26,34
../samples/decompilations/rerolled/providers implementations keymgmt libdefault-lib-dsa_kmgmt.c,0,0,0,0
../samples/decompilations/rerolled/thirdparty astcenc astcenc_color_unquantize.linuxbsd.editor.x86_64.c,0,0,0,0
../samples/decompilations/rerolled/engines dasync-dso-e_dasync.c,19,1,0,20
../samples/decompilations/rerolled/thirdparty jolt_physics Jolt Physics Collision Shape ScaledShape.linuxbsd.editor.x86_64.c,0,0,3,3
../samples/decompilations/rerolled/crypto des libcrypto-shlib-ofb64ede.c,2,0,1,3
../samples/decompilations/rerolled/fuzz quic-lcidm-test-bin-test-corpus.c,0,0,0,0
../samples/decompilations/rerolled/providers implementations ciphers liblegacy-lib-cipher_rc2.c,0,0,0,0
../samples/decompilations/rerolled/crypto x509 libcrypto-shlib-x509spki.c,0,0,0,0
../samples/decompilations/rerolled/thirdparty icu4c common charstr.linuxbsd.editor.x86_64.c,0,0,0,0
../samples/decompilations/rerolled/crypto evp libcrypto-shlib-c_alld.c,0,0,0,0
../samples/decompilations/rerolled/thirdparty libwebp src enc picture_enc.linuxbsd.editor.x86_64.c,0,0,0,0
../samples/decompilations/rerolled/modules gdscript gdscript_function.linuxbsd.editor.x86_64.c,12,12,60,84
../samples/decompilations/rerolled/lib libcoreutils_a-memset_explicit.c,0,0,0,0
../samples/decompilations/rerolled/crypto aria libcrypto-shlib-aria.c,0,0,0,0
../samples/decompilations/rerolled/crypto engine libcrypto-shlib-eng_fat.c,0,0,0,0
../samples/decompilations/rerolled/crypto rsa libcrypto-lib-rsa_gen.c,7,2,2,11
../samples/decompilations/rerolled/crypto x509 libcrypto-lib-x_ietfatt.c,0,0,0,0
../samples/decompilations/rerolled/thirdparty graphite src gr_face.linuxbsd.editor.x86_64.c,1,0,2,3
../samples/decompilations/rerolled/crypto modes libcrypto-lib-cts128.c,0,0,0,0
../samples/decompilations/rerolled/scene resources sprite_frames.linuxbsd.editor.x86_64.c,13,39,108,160
../samples/decompilations/rerolled/lib libcoreutils_a-posix_memalign.c,0,0,0,0
../samples/decompilations/rerolled/crypto evp libcrypto-lib-skeymgmt_meth.c,6,1,0,7
../samples/decompilations/rerolled/src set-fields.c,0,0,0,0
../samples/decompilations/rerolled/lib libcoreutils_a-allocator.c,0,0,0,0
../samples/decompilations/rerolled/thirdparty libwebp sharpyuv sharpyuv.linuxbsd.editor.x86_64.c,0,0,0,0
../samples/decompilations/rerolled/crypto dh libcrypto-lib-dh_kdf.c,0,0,0,0
../samples/decompilations/rerolled/thirdparty jolt_physics Jolt TriangleSplitter TriangleSplitterBinning.linuxbsd.editor.x86_64.c,8,0,10,18
../samples/decompilations/rerolled/lib libcoreutils_a-xstrtol.c,0,0,0,0
../samples/decompilations/rerolled/src touch.c,0,0,0,0
../samples/decompilations/rerolled/test helpers quicapitest-bin-quictestlib.c,2,1,11,14
../samples/decompilations/rerolled/core io file_access_compressed.linuxbsd.editor.x86_64.c,5,2,7,14
../samples/decompilations/rerolled/thirdparty mbedtls library x509write_csr.linuxbsd.editor.x86_64.c,0,0,0,0
../samples/decompilations/rerolled/crypto libcrypto-shlib-param_build_set.c,0,0,0,0
../samples/decompilations/rerolled/platform linuxbsd freedesktop_screensaver.linuxbsd.editor.x86_64.c,0,0,0,0
../samples/decompilations/rerolled/core variant variant.linuxbsd.editor.x86_64.c,2,40,115,157
../samples/decompilations/rerolled/ssl record methods libssl-shlib-dtls_meth.c,4,2,1,7
../samples/decompilations/rerolled/modules webrtc webrtc_data_channel.linuxbsd.editor.x86_64.c,4,0,21,25
../samples/decompilations/rerolled/thirdparty openxr src loader loader_logger.linuxbsd.editor.x86_64.c,10,16,17,43
../samples/decompilations/rerolled/providers implementations asymciphers libdefault-lib-sm2_enc.c,0,0,0,0
../samples/decompilations/rerolled/thirdparty embree kernels builders primrefgen.linuxbsd.editor.x86_64.c,0,9,38,47
../samples/decompilations/rerolled/thirdparty mbedtls library x509_csr.linuxbsd.editor.x86_64.c,0,0,0,0
../samples/decompilations/rerolled/crypto dh libcrypto-shlib-dh_pmeth.c,0,0,0,0
../samples/decompilations/rerolled/crypto bn libcrypto-lib-bn_div.c,0,0,0,0
../samples/decompilations/rerolled/crypto bn libcrypto-lib-rsaz-4k-avx512.c,6,0,2,8
../samples/decompilations/rerolled/modules navigation nav_agent.linuxbsd.editor.x86_64.c,2,0,0,2
../samples/decompilations/rerolled/crypto modes libcrypto-lib-ofb128.c,0,0,0,0
../samples/decompilations/rerolled/thirdparty icu4c common propsvec.linuxbsd.editor.x86_64.c,0,0,0,0
../samples/decompilations/rerolled/crypto rsa libcrypto-shlib-rsa_pmeth.c,0,0,0,0
../samples/decompilations/rerolled/thirdparty mbedtls library entropy_poll.linuxbsd.editor.x86_64.c,0,0,0,0
