File,for/loops,while/loops,do-while/loops,total
thirdparty/thorvg/src/loaders/raw/tvgRawLoader.c,0,0,0,0
servers/rendering/renderer_rd/renderer_canvas_render_rd.c,7,48,189,244
core/config/project_settings.c,31,81,219,331
modules/navigation/nav_map.c,9,18,75,102
thirdparty/icu4c/common/messagepattern.c,0,0,0,0
editor/progress_dialog.c,13,14,31,58
core/io/file_access_zip.c,3,5,20,28
thirdparty/thorvg/src/loaders/external_png/tvgPngLoader.c,0,0,0,0
thirdparty/libwebp/src/enc/predictor_enc.c,6,3,25,34
thirdparty/graphite/src/json.c,0,0,0,0
thirdparty/basis_universal/encoder/basisu_ssim.c,1,2,46,49
thirdparty/freetype/src/base/ftwinfnt.c,0,0,0,0
thirdparty/jolt_physics/Jolt/Physics/Collision/BroadPhase/BroadPhaseBruteForce.c,5,4,19,28
thirdparty/mbedtls/library/ccm.c,2,2,9,13
thirdparty/jolt_physics/Jolt/Skeleton/Skeleton.c,3,1,13,17
modules/openxr/openxr_interface.c,19,11,38,68
thirdparty/harfbuzz/src/hb-buffer.c,5,10,74,89
editor/plugins/gizmos/decal_gizmo_plugin.c,7,1,8,16
thirdparty/libwebp/src/enc/syntax_enc.c,0,1,7,8
thirdparty/libwebp/src/demux/anim_decode.c,0,0,5,5
thirdparty/icu4c/common/util_props.c,0,3,1,4
thirdparty/embree/kernels/bvh/bvh8_factory.c,0,0,0,0
editor/directory_create_dialog.c,12,4,21,37
thirdparty/icu4c/common/usetiter.c,0,0,0,0
servers/rendering/renderer_rd/effects/bokeh_dof.c,2,11,71,84
thirdparty/openxr/src/loader/api_layer_interface.c,9,16,51,76
thirdparty/zstd/common/threading.c,0,0,0,0
thirdparty/jolt_physics/Jolt/Physics/Constraints/ConeConstraint.c,0,0,8,8
modules/navigation/editor/navigation_mesh_editor_plugin.c,9,2,4,15
thirdparty/pcre2/src/pcre2_serialize_32.c,2,1,4,7
modules/openxr/action_map/openxr_action_set.c,5,1,18,24
thirdparty/jolt_physics/Jolt/Physics/Constraints/SpringSettings.c,0,0,0,0
thirdparty/basis_universal/encoder/basisu_uastc_enc.c,28,33,146,207
thirdparty/jolt_physics/Jolt/Math/Vec3.c,0,0,4,4
editor/import/3d/editor_import_collada.c,27,72,406,505
thirdparty/jolt_physics/Jolt/Physics/PhysicsSystem.c,22,25,98,145
thirdparty/icu4c/common/ubidi.c,3,6,57,66
modules/jolt_physics/shapes/jolt_capsule_shape_3d.c,0,0,4,4
scene/resources/2d/convex_polygon_shape_2d.c,6,6,34,46
thirdparty/msdfgen/core/Scanline.c,0,3,6,9
editor/shader_create_dialog.c,0,0,0,0
editor/plugins/input_event_editor_plugin.c,15,2,6,23
servers/text/text_server_extension.c,4,3,215,222
thirdparty/mbedtls/library/entropy.c,1,2,7,10
editor/plugins/bone_map_editor_plugin.c,27,36,86,149
thirdparty/pcre2/src/pcre2_valid_utf_32.c,0,0,0,0
thirdparty/mbedtls/library/aria.c,2,4,21,27
editor/editor_atlas_packer.c,1,10,41,52
thirdparty/mbedtls/library/ssl_ciphersuites.c,0,0,6,6
thirdparty/mbedtls/library/ssl_tls13_client.c,0,6,2,8
thirdparty/harfbuzz/src/hb-common.c,0,3,10,13
editor/plugins/animation_blend_tree_editor_plugin.c,35,52,121,208
thirdparty/jolt_physics/Jolt/Physics/Collision/NarrowPhaseQuery.c,2,3,14,19
scene/gui/menu_bar.c,10,15,32,57
thirdparty/icu4c/common/ucnvbocu.c,0,0,0,0
thirdparty/libwebp/src/dec/quant_dec.c,0,1,1,2
core/object/method_bind.c,0,0,9,9
scene/3d/path_3d.c,6,3,16,25
editor/plugins/animation_tree_editor_plugin.c,13,13,16,42
modules/basis_universal/image_compress_basisu.c,14,3,33,50
scene/main/status_indicator.c,0,2,16,18
core/math/vector4i.c,0,0,0,0
scene/resources/2d/skeleton/skeleton_modification_stack_2d.c,4,6,9,19
modules/openxr/extensions/openxr_hand_tracking_extension.c,3,2,16,21
scene/3d/spring_bone_collision_plane_3d.c,5,0,6,11
editor/action_map_editor.c,14,21,48,83
thirdparty/mbedtls/library/psa_crypto_hash.c,1,0,0,1
editor/engine_update_label.c,7,3,22,32
thirdparty/jolt_physics/Jolt/RegisterTypes.c,0,0,0,0
thirdparty/mbedtls/library/psa_crypto_ecp.c,0,0,0,0
thirdparty/harfbuzz/src/hb-ot-shaper-vowel-constraints.c,0,0,0,0
thirdparty/icu4c/common/ucnvlat1.c,0,0,0,0
modules/gdscript/register_types.c,8,0,7,15
thirdparty/mbedtls/library/des.c,0,0,0,0
thirdparty/icu4c/common/localematcher.c,1,1,10,12
editor/plugins/tiles/tile_proxies_manager_dialog.c,13,10,55,78
thirdparty/astcenc/astcenc_mathlib_softfloat.c,1,0,0,1
servers/rendering/renderer_rd/storage_rd/utilities.c,0,6,14,20
modules/gltf/structures/gltf_camera.c,5,1,7,13
editor/plugins/gizmos/visible_on_screen_notifier_3d_gizmo_plugin.c,5,0,10,15
servers/audio/effects/audio_effect_stereo_enhance.c,8,0,16,24
thirdparty/icu4c/common/uts46.c,0,0,0,0
modules/cvtt/image_compress_cvtt.c,2,0,13,15
thirdparty/libwebp/src/dsp/rescaler_msa.c,0,0,0,0
core/debugger/remote_debugger_peer.c,2,3,10,15
thirdparty/libwebp/src/enc/cost_enc.c,0,2,12,14
thirdparty/icu4c/common/udataswp.c,1,0,5,6
modules/jolt_physics/shapes/jolt_custom_double_sided_shape.c,0,0,2,2
modules/jpg/register_types.c,0,0,0,0
thirdparty/libvorbis/mdct.c,0,1,22,23
servers/physics_server_2d.c,12,14,72,98
modules/mbedtls/crypto_mbedtls.c,9,0,19,28
thirdparty/mbedtls/library/md.c,2,1,6,9
thirdparty/thorvg/src/loaders/jpg/tvgJpgLoader.c,0,0,3,3
platform/linuxbsd/x11/gl_manager_x11_egl.c,0,0,0,0
editor/export/editor_export_platform.c,34,56,151,241
platform/linuxbsd/godot_linuxbsd.c,0,0,0,0
thirdparty/glslang/glslang/MachineIndependent/Intermediate.c,17,5,49,71
servers/audio/effects/audio_effect_spectrum_analyzer.c,10,3,32,45
thirdparty/libwebp/src/dsp/dec.c,0,5,41,46
editor/plugins/abstract_polygon_2d_editor.c,10,8,16,34
scene/resources/font.c,21,57,144,222
thirdparty/icu4c/common/rbbiscan.c,1,4,10,15
editor/plugins/gradient_editor_plugin.c,19,21,34,74
scene/gui/range.c,5,8,14,27
modules/websocket/websocket_peer.c,4,2,14,20
modules/websocket/remote_debugger_peer_websocket.c,2,3,7,12
thirdparty/jolt_physics/Jolt/TriangleGrouper/TriangleGrouperMorton.c,0,2,8,10
thirdparty/jolt_physics/Jolt/Physics/Collision/CollisionDispatch.c,0,2,22,24
thirdparty/embree/common/sys/estring.c,2,0,8,10
scene/resources/animation.c,41,168,404,613
thirdparty/glslang/glslang/MachineIndependent/SpirvIntrinsics.c,26,15,51,92
modules/gltf/structures/gltf_node.c,0,3,11,14
servers/xr/xr_controller_tracker.c,5,0,8,13
editor/import/resource_importer_texture.c,9,4,32,45
modules/jolt_physics/spaces/jolt_layers.c,0,3,7,10
servers/rendering/renderer_compositor.c,0,0,0,0
thirdparty/libwebp/src/dsp/enc_sse41.c,0,0,0,0
scene/resources/immediate_mesh.c,10,2,27,39
thirdparty/glslang/glslang/MachineIndependent/IntermTraverse.c,0,0,9,9
thirdparty/freetype/src/base/ftbase.c,25,26,58,109
scene/gui/video_stream_player.c,5,4,20,29
modules/navigation/nav_link.c,0,0,0,0
scene/gui/box_container.c,7,6,16,29
thirdparty/icu4c/common/brkeng.c,0,3,0,3
thirdparty/embree/kernels/bvh/bvh_collider.c,8,9,17,34
thirdparty/glslang/SPIRV/SpvBuilder.c,13,141,157,311
thirdparty/libwebp/src/dsp/cost_neon.c,0,0,0,0
servers/navigation/navigation_path_query_result_3d.c,0,0,21,21
editor/plugins/gizmos/cpu_particles_3d_gizmo_plugin.c,5,0,9,14
thirdparty/harfbuzz/src/hb-number.c,0,0,4,4
thirdparty/libwebp/src/dsp/cost_mips32.c,0,0,0,0
servers/rendering/rendering_device.c,0,0,0,0
thirdparty/mbedtls/library/nist_kw.c,2,1,6,9
thirdparty/libwebp/src/enc/filter_enc.c,2,0,8,10
modules/gltf/extensions/gltf_document_extension_convert_importer_mesh.c,5,4,13,22
scene/resources/skeleton_profile.c,54,6,46,106
thirdparty/freetype/src/psnames/psnames.c,0,4,10,14
thirdparty/freetype/src/truetype/truetype.c,21,21,117,159
core/math/aabb.c,0,0,3,3
core/variant/variant_utility.c,3,18,221,242
modules/hdr/register_types.c,0,0,0,0
thirdparty/libwebp/sharpyuv/sharpyuv_dsp.c,0,0,3,3
servers/rendering/shader_types.c,1,17,70,88
drivers/gles3/effects/post_effects.c,0,12,7,19
thirdparty/icu4c/common/uniset.c,0,15,36,51
thirdparty/freetype/src/type42/type42.c,1,3,12,16
scene/theme/default_theme.c,0,0,0,0
core/object/message_queue.c,3,15,42,60
thirdparty/zstd/compress/zstd_compress_superblock.c,2,2,6,10
servers/rendering/renderer_geometry_instance.c,0,0,1,1
thirdparty/icu4c/common/ucasemap.c,0,2,3,5
modules/godot_physics_3d/godot_step_3d.c,5,3,23,31
platform/linuxbsd/export/export_plugin.c,6,3,20,29
editor/plugins/texture_layered_editor_plugin.c,12,4,22,38
editor/gui/editor_run_bar.c,9,11,26,46
core/object/ref_counted.c,2,1,14,17
thirdparty/mbedtls/library/platform_util.c,0,0,0,0
drivers/register_driver_types.c,0,0,0,0
modules/openxr/openxr_api_extension.c,3,1,14,18
thirdparty/mbedtls/library/pkcs12.c,3,1,8,12
thirdparty/libvorbis/lookup.c,0,0,0,0
thirdparty/libwebp/src/dsp/enc_msa.c,0,0,0,0
scene/resources/physics_material.c,0,0,9,9
editor/debugger/editor_performance_profiler.c,9,30,54,93
thirdparty/mbedtls/library/chacha20.c,0,0,6,6
modules/gdscript/gdscript_warning.c,0,1,8,9
thirdparty/graphite/src/Slot.c,2,2,7,11
scene/animation/animation_blend_tree.c,21,31,99,151
thirdparty/glslang/glslang/MachineIndependent/reflection.c,28,19,94,141
platform/web/export/editor_http_server.c,3,2,16,21
servers/rendering/shader_include_db.c,0,3,22,25
editor/editor_help.c,56,91,296,443
drivers/gles3/effects/feed_effects.c,0,4,7,11
