File,for loops,while loops,do-while loops,total loops,total nodes
../samples/decompilations/openssl/crypto pem libcrypto-shlib-pem_lib.c,0,1,8,9,13260
../samples/decompilations/openssl/test asn1_time_test-bin-asn1_time_test.c,0,0,0,0,5206
../samples/decompilations/openssl/test testutil libtestutil-lib-cb.c,0,0,0,0,29
../samples/decompilations/openssl/crypto libssl-shlib-ctype.c,0,0,0,0,262
../samples/decompilations/openssl/crypto async libcrypto-shlib-async.c,0,3,4,7,5010
../samples/decompilations/openssl/crypto slh_dsa libcrypto-shlib-slh_adrs.c,0,0,0,0,1479
../samples/decompilations/openssl/crypto dh libcrypto-shlib-dh_asn1.c,0,0,0,0,1493
../samples/decompilations/openssl/test buildtest_c_txt_db-bin-buildtest_txt_db.c,0,0,0,0,17
../samples/decompilations/openssl/providers implementations ciphers libdefault-lib-cipher_null.c,0,0,0,0,1029
../samples/decompilations/openssl/test buildtest_c_idea-bin-buildtest_idea.c,0,0,0,0,17
../samples/decompilations/openssl/crypto engine libcrypto-lib-eng_rdrand.c,0,0,0,0,354
../samples/decompilations/openssl/ssl rio libssl-shlib-poll_immediate.c,0,2,11,13,4113
../samples/decompilations/openssl/crypto asn1 libcrypto-shlib-asn_moid.c,0,3,1,4,807
../samples/decompilations/openssl/test x509_dup_cert_test-bin-x509_dup_cert_test.c,0,0,0,0,463
../samples/decompilations/openssl/crypto evp libcrypto-shlib-p_dec.c,0,0,0,0,171
../samples/decompilations/openssl/fuzz quic-client-test-bin-fuzz_rand.c,0,0,1,1,1942
../samples/decompilations/openssl/apps openssl-bin-skeyutl.c,0,0,2,2,1157
../samples/decompilations/openssl/crypto cast libcrypto-shlib-c_enc.c,0,0,2,2,9610
../samples/decompilations/openssl/crypto store libcrypto-shlib-store_result.c,0,1,1,2,5264
../samples/decompilations/openssl/providers libcrypto-lib-baseprov.c,0,1,1,2,965
../samples/decompilations/openssl/crypto x509 libcrypto-shlib-x_ietfatt.c,2,1,0,3,2007
../samples/decompilations/openssl/crypto x509 libcrypto-shlib-v3_iobo.c,0,0,0,0,125
../samples/decompilations/openssl/crypto evp libcrypto-shlib-encode.c,0,3,5,8,6345
../samples/decompilations/openssl/providers common libdefault-lib-securitycheck.c,0,0,0,0,1142
../samples/decompilations/openssl/crypto asn1 libcrypto-lib-f_int.c,0,0,4,4,1737
../samples/decompilations/openssl/crypto x509 libcrypto-lib-v3_cpols.c,4,3,1,8,7456
../samples/decompilations/openssl/providers implementations ciphers libdefault-lib-cipher_sm4_ccm_hw.c,0,0,0,0,210
../samples/decompilations/openssl/test dsa_no_digest_size_test-bin-dsa_no_digest_size_test.c,0,0,0,0,1937
../samples/decompilations/openssl/crypto store libcrypto-shlib-store_meth.c,0,1,0,1,5203
../samples/decompilations/openssl/crypto x509 libcrypto-shlib-v3_purp.c,1,5,1,7,15011
../samples/decompilations/openssl/crypto x509 libcrypto-lib-v3_aaa.c,1,0,2,3,1643
../samples/decompilations/openssl/crypto evp libcrypto-lib-e_seed.c,0,0,4,4,1477
../samples/decompilations/openssl/crypto des libcrypto-shlib-ecb3_enc.c,0,0,0,0,194
../samples/decompilations/openssl/providers implementations macs libdefault-lib-poly1305_prov.c,1,0,0,1,1093
../samples/decompilations/openssl/ssl statem libssl-shlib-statem_lib.c,4,2,12,18,33318
../samples/decompilations/openssl/test helpers quicfaultstest-bin-pktsplitbio.c,0,0,3,3,1241
../samples/decompilations/openssl/crypto bn libcrypto-shlib-bn_err.c,0,0,0,0,65
../samples/decompilations/openssl/crypto bn libcrypto-shlib-rsaz-x86_64.c,0,0,6,6,14955
../samples/decompilations/openssl/crypto crmf libcrypto-lib-crmf_asn.c,0,0,0,0,5491
../samples/decompilations/openssl/crypto libssl-shlib-quic_vlint.c,0,0,0,0,906
../samples/decompilations/openssl/providers implementations rands libdefault-lib-test_rng.c,0,0,2,2,3336
../samples/decompilations/openssl/ssl quic libssl-shlib-quic_obj.c,0,1,2,3,1377
../samples/decompilations/openssl/crypto engine libcrypto-lib-tb_dh.c,1,0,0,1,423
../samples/decompilations/openssl/crypto bn libcrypto-lib-x86_64-mont5.c,9,10,22,41,62085
../samples/decompilations/openssl/crypto ec libcrypto-lib-ecx_meth.c,2,0,0,2,9197
../samples/decompilations/openssl/crypto libcrypto-shlib-o_dir.c,0,0,0,0,567
../samples/decompilations/openssl/crypto asn1 libcrypto-lib-tasn_utl.c,0,0,1,1,2711
../samples/decompilations/openssl/crypto engine libcrypto-shlib-eng_pkey.c,0,0,0,0,1408
../samples/decompilations/openssl/providers implementations ciphers liblegacy-lib-cipher_seed_hw.c,0,0,4,4,1392
../samples/decompilations/openssl/ssl quic libssl-lib-quic_cfq.c,0,4,2,6,5418
../samples/decompilations/openssl/test ideatest-bin-ideatest.c,0,0,0,0,899
../samples/decompilations/openssl/crypto ec libcrypto-lib-curve25519.c,1,2,38,41,54945
../samples/decompilations/openssl/crypto ml_dsa libcrypto-lib-ml_dsa_ntt.c,0,0,8,8,1651
../samples/decompilations/openssl/crypto des libcrypto-shlib-set_key.c,0,0,2,2,2266
../samples/decompilations/openssl/crypto aes libcrypto-shlib-aes_ige.c,0,0,12,12,12424
../samples/decompilations/openssl/crypto bio libcrypto-lib-bio_meth.c,0,0,0,0,1791
../samples/decompilations/openssl/crypto bio libcrypto-lib-bio_lib.c,0,3,7,10,16624
../samples/decompilations/openssl/crypto cmp libcrypto-shlib-cmp_vfy.c,2,1,3,6,10145
../samples/decompilations/openssl/crypto evp libcrypto-lib-ec_ctrl.c,0,0,0,0,3588
